epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2219.81,2.08463,2.74209,1.33875,0.16585,0.26688,0.10547,0.04857,1.87187,2.59105,1.44703,0.005743,0.005743,0.005743
45,2269.43,2.07685,2.90916,1.3181,0.1467,0.2971,0.09748,0.04363,1.98903,2.6536,1.52314,0.005644,0.005644,0.005644
46,2319.94,2.08089,2.7479,1.33422,0.18499,0.15934,0.11039,0.05253,1.84869,2.58315,1.43574,0.005545,0.005545,0.005545
47,2368.5,2.06052,2.74317,1.3345,0.19347,0.13383,0.09776,0.05066,1.67537,2.68617,1.41891,0.005446,0.005446,0.005446
48,2419.42,2.05006,2.72269,1.33821,0.16098,0.23509,0.09646,0.04721,1.80565,2.68364,1.46738,0.005347,0.005347,0.005347
49,2467.93,2.05001,2.80656,1.33151,0.16304,0.16758,0.09893,0.05212,1.68263,2.701,1.42006,0.005248,0.005248,0.005248
50,2515.99,2.00235,2.75329,1.31212,0.1594,0.33046,0.1082,0.05279,1.75155,2.68828,1.40839,0.005149,0.005149,0.005149
51,2566.35,2.03668,2.62391,1.31979,0.18467,0.29592,0.11887,0.0565,1.83332,2.62199,1.44146,0.00505,0.00505,0.00505
52,2615.3,2.05382,2.6859,1.32699,0.1888,0.17033,0.10084,0.04878,1.86309,2.61471,1.44572,0.004951,0.004951,0.004951
53,2664.87,2.01756,2.9002,1.30208,0.22638,0.19152,0.1128,0.05502,1.87387,2.60991,1.44733,0.004852,0.004852,0.004852
54,2712.92,2.0026,2.65596,1.30671,0.23282,0.17818,0.12129,0.0631,1.66343,2.57974,1.38441,0.004753,0.004753,0.004753
55,2762.39,2.01244,2.67522,1.30334,0.23377,0.20212,0.12832,0.06394,1.75895,2.5257,1.43171,0.004654,0.004654,0.004654
56,2811.37,1.97157,2.59,1.30542,0.21169,0.18407,0.10578,0.05294,1.68741,2.7184,1.40099,0.004555,0.004555,0.004555
57,2859.94,2.00912,2.63603,1.30022,0.21812,0.18603,0.12005,0.05728,1.80713,2.60499,1.43404,0.004456,0.004456,0.004456
58,2909.43,1.98427,2.62682,1.30167,0.24979,0.20055,0.13835,0.06256,1.76731,2.56534,1.39145,0.004357,0.004357,0.004357
59,2958.79,1.9515,2.5436,1.29175,0.24523,0.17425,0.12802,0.06068,1.73199,2.58652,1.40624,0.004258,0.004258,0.004258
60,3009.55,1.98042,2.52093,1.28659,0.25188,0.21232,0.1329,0.06409,1.81643,2.58465,1.41619,0.004159,0.004159,0.004159
61,3059.42,1.93772,2.54349,1.29956,0.23821,0.20133,0.13144,0.06496,1.73054,2.69869,1.40359,0.00406,0.00406,0.00406
62,3111,1.98367,2.61797,1.30426,0.2582,0.19545,0.146,0.06862,1.80489,2.47361,1.40597,0.003961,0.003961,0.003961
63,3160.47,1.96297,2.56875,1.29697,0.24938,0.20447,0.14933,0.06878,1.78889,2.62184,1.40811,0.003862,0.003862,0.003862
64,3211.5,1.96231,2.54602,1.28523,0.26406,0.22841,0.16962,0.0817,1.76268,2.4942,1.3786,0.003763,0.003763,0.003763
65,3260.55,1.90458,2.46928,1.27408,0.27689,0.22292,0.17163,0.08114,1.79733,2.52538,1.40114,0.003664,0.003664,0.003664
66,3310.61,1.92471,2.53581,1.27869,0.2711,0.21154,0.15615,0.07245,1.8209,2.55396,1.40646,0.003565,0.003565,0.003565
67,3358.95,1.92409,2.48885,1.26707,0.27904,0.22057,0.17294,0.07666,1.76413,2.49524,1.39404,0.003466,0.003466,0.003466
68,3409.68,1.902,2.52022,1.27208,0.29301,0.19665,0.16127,0.07294,1.7752,2.57799,1.39613,0.003367,0.003367,0.003367
69,3459.49,1.89844,2.42532,1.23108,0.25863,0.20948,0.16207,0.07721,1.77599,2.56962,1.38972,0.003268,0.003268,0.003268
70,3510.1,1.92356,2.44632,1.24242,0.28526,0.23195,0.17843,0.08647,1.692,2.57716,1.36225,0.003169,0.003169,0.003169
